,term,TF-IDF
261,didenger,0.3902816952548995
677,logical,0.3902816952548995
233,comment,0.39018369776729894
1194,tim,0.39018369776729894
1290,yak,0.39018369776729894
854,ngehapus,0.39018369776729894
607,korperatif,0.38894712649610935
179,brati,0.38894712649610935
1020,rengginang,0.3879003027098936
1019,rempah,0.3879003027098936
593,kong,0.3879003027098936
681,lolos,0.3879003027098936
1275,wan,0.3879003027098936
633,lahir,0.38405855287362584
398,hahh,0.3821152551868339
294,duuh,0.3821152551868339
849,ngasih,0.3821152551868339
370,go,0.3805036611906299
765,meta,0.3805036611906299
628,ky,0.377250448634507
103,bagas,0.377250448634507
288,duka,0.377250448634507
382,gugat,0.3748963373620647
253,data,0.3748963373620647
579,kirain,0.3748963373620647
769,mining,0.3748963373620647
1295,yogya,0.3745744389162
1155,syetan,0.3698488810864291
303,elak,0.3698488810864291
1012,rasuk,0.3698488810864291
944,pepet,0.3698488810864291
1258,ust,0.3698309394825041
1189,teteh,0.3698309394825041
369,gmn,0.36734176045504024
832,ne,0.36734176045504024
699,mahasiwanya,0.36734176045504024
537,kawin,0.3659407271467043
778,mna,0.3659407271467043
622,kucing,0.3659407271467043
700,main,0.36447807802665444
1007,rahasia,0.36447807802665444
1281,wawas,0.36288149918969465
1284,wkwjwk,0.36288149918969465
815,mvk,0.36288149918969465
187,bu,0.3622077619080075
438,huhuhuhuu,0.35790294232316894
227,cinta,0.35790294232316894
215,cantiku,0.35790294232316894
1263,vani,0.3577243221369971
35,alibi,0.3577243221369971
662,lepas,0.35703187057112423
923,parah,0.3558455685711686
1226,tuk,0.35310657512884075
716,mangsa,0.35310657512884075
1081,sempat,0.35310657512884075
1259,usul,0.3527613518489653
1202,tlg,0.35180200747496154
505,judul,0.35180200747496154
1178,teliti,0.35180200747496154
1051,sangka,0.35131865723787287
1240,udh,0.34968225706869954
888,nunggu,0.34968225706869954
1217,trmksh,0.3494377158584908
892,nyata,0.3478860618756032
1016,rejim,0.34486123455964945
682,lom,0.34451860580299776
582,kliatnya,0.34451860580299776
976,pngen,0.34451860580299776
345,gembrot,0.34451860580299776
1002,pungkiri,0.3444731391419507
361,gila,0.3444731391419507
1193,tidk,0.3444731391419507
153,bidadari,0.3444731391419507
743,melulu,0.3444731391419507
150,biadab,0.3444731391419507
670,lihat,0.3420877231010948
364,gin,0.3420877231010948
258,delik,0.3408276576584455
889,nuntut,0.3408276576584455
788,msk,0.3408276576584455
705,makax,0.33944798268186704
502,jual,0.33944798268186704
549,kehormatanx,0.33944798268186704
515,kaedah,0.33839517429720917
34,alias,0.33839517429720917
649,lari,0.3379340961929861
882,nonmus,0.3362398233516406
735,mau,0.3362398233516406
578,kiblat,0.3362398233516406
760,merka,0.3362398233516406
113,barat,0.3362398233516406
396,haekal,0.3360499596892781
790,msti,0.3360499596892781
469,isu,0.3360499596892781
299,efi,0.3347227468983379
965,pikiranx,0.3347227468983379
152,bicarax,0.3347227468983379
943,penampilanx,0.3347227468983379
651,layak,0.3347227468983379
891,nyampek,0.3347227468983379
616,krinten,0.3346420475274232
877,nmnya,0.3346420475274232
1270,vz,0.3346420475274232
617,kristen,0.3346420475274232
548,kedok,0.33313146511341285
1145,survey,0.3328928210009722
155,bikin,0.3328928210009722
820,nakarim,0.3328928210009722
926,pasti,0.33238073916572486
1283,wkk,0.32989968925144203
354,genjot,0.32989968925144203
930,payung,0.32883117930348943
224,cetek,0.3264110998079215
311,etika,0.32568134114835445
652,layan,0.32568134114835445
1172,tawar,0.32568134114835445
936,pecat,0.32125152480211566
1078,semangat,0.32036672149138623
656,legalx,0.32036672149138623
7,adh,0.32036672149138623
789,mslhx,0.32036672149138623
690,maaf,0.31940312016713807
610,kosan,0.3177188969866744
609,kos,0.3177188969866744
625,kumpul,0.3177188969866744
545,kebo,0.3177188969866744
422,hidung,0.316726793021597
441,hutang,0.316726793021597
686,lumayan,0.316726793021597
922,pantat,0.316726793021597
1108,skr,0.31546353008621425
949,peri,0.31546353008621425
1269,viral,0.31546353008621425
521,kalang,0.31546353008621425
896,ojk,0.31526876227943323
456,innalillahi,0.31431906348901384
24,akibatnx,0.31431906348901384
897,ojol,0.31431906348901384
1032,rojion,0.31431906348901384
1282,weinnalillahi,0.31431906348901384
771,mintri,0.31431906348901384
1206,tokang,0.31431906348901384
449,imbang,0.3142880110625994
619,krng,0.3142880110625994
1115,sm,0.3142880110625994
863,nggk,0.3131239841715602
1130,stempel,0.3123700053389715
1083,semua,0.3123700053389715
291,dungurockygarong,0.3123700053389715
836,neh,0.3123700053389715
595,konsep,0.3116360523528216
1241,uji,0.31060758019584617
412,hasil,0.3100070817754486
978,pokonamah,0.3088318550345648
829,nasi,0.3068715279832677
117,bayang,0.3068715279832677
213,campur,0.3068715279832677
910,padang,0.3068715279832677
48,ancuran,0.3068715279832677
1133,strobery,0.3068715279832677
232,coklat,0.3068715279832677
1167,tangan,0.30614411207364317
1214,tragis,0.3039102795353194
1028,riil,0.3039102795353194
594,konotasi,0.3039102795353194
394,hadeuuhh,0.3024484251690898
1289,yaakk,0.3024484251690898
845,ngampuss,0.3024484251690898
856,ngelindungi,0.3024484251690898
712,maluin,0.3024484251690898
702,makan,0.299254565081143
900,omong,0.299254565081143
1120,sndri,0.299254565081143
904,otoritas,0.299254565081143
184,brti,0.299254565081143
1264,vc,0.2979181082367803
629,kyak,0.2979181082367803
498,jngankan,0.2979181082367803
842,ngaji,0.2979181082367803
954,permendibud,0.29593431427358574
851,ngawur,0.29593431427358574
467,istilah,0.2958763357635328
431,horee,0.29510081212494427
501,joob,0.29510081212494427
139,berzinaa,0.29510081212494427
703,makariem,0.29510081212494427
365,girang,0.29510081212494427
375,good,0.29510081212494427
1286,wkwkwkwk,0.29510081212494427
1251,untung,0.2949524370320832
249,dapat,0.2876783596763104
205,butuh,0.2876783596763104
947,perbutan,0.2876783596763104
37,alloh,0.2867421384331353
872,ngundang,0.2867421384331353
254,dateng,0.2867421384331353
1057,sayah,0.2867421384331353
178,boong,0.2867421384331353
908,pad,0.2867421384331353
1105,situ,0.2854916064044681
732,mata,0.2854916064044681
1136,substansi,0.2854916064044681
558,kemarin,0.2854916064044681
666,lho,0.2854916064044681
911,pade,0.2854916064044681
819,najwa,0.2854916064044681
1223,tubuh,0.28275103050851463
336,garis,0.28165882764640415
575,khas,0.28165882764640415
229,ciri,0.28165882764640415
1233,turun,0.28165882764640415
290,dungu,0.28165567942354586
319,fikir,0.2808931409502156
273,dlu,0.2808931409502156
101,bag,0.2808931409502156
486,jdi,0.2808931409502156
333,gampang,0.2808931409502156
239,curek,0.2808931409502156
238,cureek,0.2808931409502156
894,nyuruh,0.2808931409502156
380,greget,0.2808931409502156
185,brunding,0.28004588309768935
781,mngerti,0.28004588309768935
1059,sbuah,0.28004588309768935
41,ambil,0.28004588309768935
614,kpda,0.28004588309768935
1005,putus,0.28004588309768935
183,brsama,0.28004588309768935
780,mngambil,0.28004588309768935
128,belah,0.2786533880887031
318,fihak,0.2786533880887031
275,dmn,0.2786533880887031
981,poligami,0.27715196360452327
400,hajkal,0.27715196360452327
1127,sorga,0.27715196360452327
356,gerombol,0.27715196360452327
1138,suci,0.27715196360452327
646,lantas,0.2767798856626485
571,ketangkep,0.2767798856626485
606,koreksi,0.2767569334638766
320,fikirkan,0.2767569334638766
678,logika,0.2755894010850563
642,langkah,0.2721006207442427
550,kejam,0.2721006207442427
701,maju,0.2721006207442427
779,mnangani,0.2721006207442427
503,juang,0.2713677351097566
1246,umpama,0.2713677351097566
237,culun,0.27064218445687027
1066,segitu,0.27064218445687027
906,paaspasan,0.27064218445687027
434,hostnya,0.27064218445687027
881,nongol,0.27064218445687027
706,maklum,0.27064218445687027
932,pd,0.26898461782403754
921,panggang,0.26830950767600353
279,dosa,0.26830950767600353
1205,tobat,0.26830950767600353
14,ajaib,0.26830950767600353
838,neraka,0.26830950767600353
66,api,0.26830950767600353
1142,sungsang,0.26829439682782613
442,iblis,0.26829439682782613
278,do,0.26829439682782613
338,gass,0.26829439682782613
940,peljaran,0.26829439682782613
669,liberal,0.26829439682782613
372,goalkan,0.26829439682782613
1111,slama,0.2677416009201228
1102,sis,0.2677416009201228
1110,skrng,0.2677416009201228
839,nga,0.2677416009201228
847,ngas,0.2677416009201228
791,muaantaab,0.2677416009201228
0,aamaan,0.2677416009201228
207,bwahahaahaha,0.2677416009201228
693,maen,0.2677416009201228
337,gas,0.2677416009201228
688,lw,0.2677416009201228
799,multitafsir,0.2676255689697247
919,pancasilais,0.2676255689697247
489,jekas,0.2676255689697247
816,nabi,0.26702916960005085
795,muhammad,0.26702916960005085
373,goblog,0.2667860254826898
824,nanya,0.2667860254826898
555,keluar,0.2667860254826898
962,piara,0.2667860254826898
1021,resah,0.25907792008178543
546,kecil,0.25907792008178543
1195,timbul,0.25907792008178543
114,basah,0.2577518024883132
460,intim,0.2577518024883132
329,gagal,0.2577518024883132
1053,sanksi,0.2533942280057893
566,kereta,0.25329699863006083
355,gerbong,0.25329699863006083
532,kasih,0.24984967464064248
1041,ruwetnesia,0.24942215022496134
247,dangkal,0.24942215022496134
1166,tanda,0.24942215022496134
