sudah;udah
kencang;kenceng
enggak;gak
menyangka;nyangka
kaget;kageet
terima kasih;makasi
sayang;say
awal-awal;awal2
enggak;ga
stabil;setabil
teman-teman;temen2
mencoba;nyoba
ih;ihh
benaran;beneran
stabil;setabil
enggak;ga
teman-teman;temen2
terima kasih;makasih
ya;yah
enggak;ga
yang;yg
pakai;pake
banget;bgt
enggak;gak
banget;bangettttttt
senang;seneng
lihat;liat
mau;mauu
mengatai;ngtain
orang;org
kaya;kya
enggak;g
saja;aja
enggak;gak
operasi plastik;oplas
enggak;gak
kelihatan;keliatan
bertambah;nambahh
paripurna;paripurnahh
wanita;wanitah
indonesia;indonesiaah
banget;bet
sudah;udh
iya;iyaa
cuman;cumn
kasih;kasi
saja;aja
sama;sm
kalo;klo
lihat;liat
gegara;gegra
kemarin;kmrin
berita;brita
kalo;klo
dilihat;diliat
wih;wihhh
pengin;pengen
banget;bgt
kalo;klo
ketemu;ktmu
sama;sma
orang;org
yang;yg
kak;ka
bawa perasaan;baper
foto bareng;fotbar
saja;aja
enggak pernah;gapernah
foto bareng;fotbar
sama;ama
juga;jg
mengatai;ngatain
wajar;wajarrr
dikata-katai;dikata2in
sampai;sampek
enggak;gak
yang;yg
lihat;liat
lihat;liat
nya;ny
saja;aja
lihat;liat
sekarang;skg
sangat;sngt
tidak;tdk
padahal;pdhl
dulu;dl
waktu;wk
sama;sm
sekarang;skg
kaya;ky
banget;bingiittt
sama;sm
dari;dr
saja;aja
sudah;sudh
tapi;tp
kalau;klu
dari;dr
menampar;nampar
tukang;tukan
jatuh;jatoh
enggak;gk
dari;dr
kok;ko
begitu;gtu
enggak;ga
orang;org
enggak;gk
"muka-muka;muka"""
dari;dr
dah;dh
jelek;jlek
sama;sma
kaya;ky
enggak;ga
enggak;ga
cantik-cantiknya;cantik2nya
enggak;ngk
pada;pda
sedangkan;sdgkn
juga;jgk
enggak;ngk
"apa-apa;apa"""
kan;kn
memancungkan;mancungin
hidung;idung
kusam;kusem
lebih;lbh
daripada;drpada
yang;yg
orang;org
lah;lahh
dari;dri
begitu;gtu
kamar;kmar
diam;diemm
tunggu;tnggu
loh;lohh
datang;dteng
nih;nihhh
gue;guee
mentertawakan;ketawain
lo;lohh
karena;krna
alah;yaelahhh
enggak usah;gausah
daripada;drpd
mengaca;ngaca
"sikap-sikap;sikap"""
sudah;udah
benar;bener
sampai;sampe
menghujat;ngehujat
banget;bgt
komentar;komenan
daripada;drpd
pengin;pengen
balas;bales
menghina;ngehina
ya;yah
enggak;ga
ampun;ampuun
menghina;ngehina
sampai;sampe
manjatuhkan;ngejatuhin
enggak;ga
kalo;klo
enggak;ga
melakukan;ngelakuin
dapat;dapet
menghina;ngehina
enggak;ga
gedek;gedeg
sama;ama
muka-muka;muka2
mengaca;ngaca
mengatai;ngatain
eh;eey
memang;emang
enggak;nggk
pernah;prnh
kesalahan;kslahan
saja;aja
yang;yg
komentar;koment
enggak;ga
benar;bener
mengatai-ngatai;ngata2in
enggak;gak
lihat;liat
orang;org
enggak;gak
enggak;gak
benar;bener
kalo;klo
enggak;gak
yang;yg
sudah;udah
saja;aja
enggak;gak
memang;mmg
enggak;ga
baik-baik;baik2
silakan;silahkan
mbak;mba
mbak;mba
enggak;gak
perhatian;perhatiam
sama;sm
saja;aj
dari;dri
pada;pd
juga;jg
tetap;ttp
yang;yg
sampai;smpe
tetap;ttp
sama;sm
ya;yah
memang;emang
dibegitukan;digituin
dibiarkan;dibiarin
saja;aja
sih;sich
aku;aq
yang;yg
enggak;gk
punya;pny
anak;ank
saja;aja
orang;org
enggak;gk
yang;yg
sebenarnya;sbnrny
terjadi;trjd
dalam;dlm
mereka;mrk
enggak;gk
memikir;mkir
bahwa;bhw
enggak;gk
mungkin;mgkn
hanya;hny
salah;slah
yang;yg
salah;slah
dua-duanya;22nya
salah;slah
mengatai;ngatain
apalagi;apalai
yang;yg
dikata-katai;dikata2in
kelihatan;keliatan
kalo;klo
memang;emang
mengapai;ngapain
campur;cmpur
orang;org
bakal;bkal
punya;pny
saat-saat;saat2
seperti;spt
akan;akn
datang;dtg
pada;pd
anak;ank
entar;ntar
juga;jg
bakal;bkal
jadi;jd
orang;org
harus;hrs
menyadari;nyadar
anak;ank
yang;yg
enggak;gk
apa-apa;apa2
mengapa;ngapain
mengomong;ngomong
mengeluarkan;ngeluarin
kata;kta
yang;yg
enggak;gk
untuk;utk
anak;ank
dimana;dmn
yang;yg
kenapa;knp
baru;br
sadar;nyadar
buka;bka
jangan;jgn
suka;ska
sok tau;sotoy
sama;sma
rumah;rmh
orang;org
punya;pny
saja;aja
berani-berani;berani2
mengatai;ngatain
anak;ank
seperti;sprt
yang;yg
enggak;gk
apa-apa;apa2
enggak;gk
sama;sma
enggak;gk
mengaca;ngaca
sama;sm
untuk;utk
mau;mo
ya;yaa
lucu;lucuuuuu
pengin;pngn
pipinya;pipi'y
gemas;gemmeeezzz
cantik;cantiikk
suka;sukam
enggak;ngga
sama;sm
ya;yach
enggak;ngga
enggak;ngga
sama;sm
waktu;wkt
sudah;udah
enggak;ga
terima kasih;makasih
kalau;klau
pakai;pakek
mbak;mba
lebih;lbh
lihat;liat
manis;manisss
mungkin;mngkin
menghilangkan;menghilangkn
untuk;utk
yang;yg
enggak;gak
percaya diri;pede
karena;karna
untuk;utk
kakak;kk
terasa;trasa
mimpi;minpi
benar-benar;bner2
enggak;gak
menyangka;nyangka
enggak;gak
menjadikan;mnjdkan
jadi;jd
aku;ak
enggak;gak
mudah-mudahan;mudah2n
senang;seneng
baju-baju;baju2
senang;seneng
dapat;dapet
pakai;pake
enggak;ga
tapi;tp
setelah;stlh
soalnya;soalx
sempat;smpt
lihat;liat
kak;ka
terima kasih;makasih
sudah;udah
merekomendasikan;rekomendasiin
saja;aja
kak;ka
saja;aja
kak;ka
sekarang;skrng
enggak;gak
pakai;pake
jadi;jd
gara-gara;gara2
yang;yg
merekomendasikan;rekomendasiin
terima kasih;mksh
ya;yah
kakak;kaka
menyarankan;saranin
kakak;kaka
ya;yah
sudah;udah
enggak;ga
terima kasih;makasih
merasa;ngerasa
lain;laen
kece;keche
badai;badaii
saja;aj
sudah;udah
pakai;pake
semoga;smoga
menjadi;mnjadi
memang;emg
semua;smua
butuh;btuh
yang;yg
penting;pnting
yang;yg
katanya;ktanya
saja;aja
masih;msh
beberapa;bebrp
sebelum;sblum
santap;santab
di;d
dalam;dlm
salihah;salehah
memikirkan;mikirin
kakak;kk
ribu;rb
juta;jt
subhanallah;subhannallah
lihat;lht
kalau;klu
cantik;cantiq
karena;karna
yuk;yu
yuk;yu
konsultasi;konsul
pengalaman;pengalam
enggak;ga
daripada;drpd
harus;hrs
semangat;smangat
selalu;slalu
yang;yg
untuk;tuk
yang;yg
pokok;poko
nya;ny
benar;bner
benar;bner
sudah;udah
banget;bnget
sudah;udah
turun;trun
pokok;poko
mantap;mantepp
deh;dehh
lebih;lbh
kuning;kuninggg
pink;pinkkkk
bisa;bs
di;d
dengan;dg
warnanya;warnany
saja;ajaa
saja;aja
segar;seger
kalo;klo
buat;bwt
makin;mkn
semangat;senangat
masaknya;msknya
keren;kerennnn
yang;yg
ciptakan;ciptain
sama;sma
mengasih;ngasih
sayang;say
bukan;bkan
ingat;inget
dekat;deket
bagus;bagussss
yang;yg
habis;abis
lihat;liat
terima kasih;makasih
sayangku;sayangkuh
ganteng;gans
keren;kren
banget;babget
banget;banger
salah fokus;salfok
sama;ama
orang;org
yang;yg
dih;dihh
salah fokus;salfok
saja;aja
jadi;jadu
enggak;nggak
hai;heii
kamu;kamuu
kesayangan;ksyngn
gue;gw
enggak;gk
harus;haru
mengapai;ngapain
gue;gw
cuma;cma
pengin;pengen
mengingatkan;ngingetin
sama;sma
banget;bngt
sayang;syang
gue;gw
sudah;udh
tahun;th
sudah;udh
gue;gw
yang;yg
enggak;gk
gue;gw
menarik;narik
gue;gw
lihat;liat
banget;bngt
yang;yg
kamu;kmu
"orang-orang;orang"""
yang;yg
pengin;pengen
kamu;kmu
gue;gw
enggak;gk
mengapai;ngapain
sayang;syng
menyanyikan;nyanyiin
tuh;tuhh
amat;amatt
enggak;ngk
begitu;gt
tetap;tetep
gila;gokilll
ganteng;gantenggg
astaga;astagaaaa
hancur;hancuuuuuy
mati;mattihhh
saja;aja
kakak;kaka
kakak;kaka
pakai;pake
enggak;gak
menyesal;nyesel
kak;ka
banget;beudd
termiripkan;termiribkan
untuk;utk
lu;u
enggak;ga
coba;cb
dulu;dlu
mendengarkan;dngerin
berarti;brrti
mendengarkan;dngerin
enak;wenakk
bagaimana;gimana
tetap;tetep
ganteng;nganteng
abang;abanggg
seksi;seksii
begitu;gtuh
jadi;jadii
gemas;emeezzz
sama;ama
kamu;amohhh
mau;maau
aku;eyke
gila;gilakkkkk
awak;awk
duh;duhhhhh
wow;wowww
keren;kerennn
kakak;kaka
lihat;liaatt
ini;iniiiii
allah;aloh
banget;bnget
banget;ngettt
banget;bangeett
banget;bgt
mirip;mirippp
mukanya;mukax
"sama-sama;sama"""
mbak;mba
masih;msh
saja;aja
kayak;kyak
masa;maso
depan;dpn
melihatnya;ngeliatnya
sekali;skli
kakak;kk
kakak;kk
enggak;gk
berubah;brubah
sudah;udah
ya;y
plastik;pelastik
kayak;keak
ya;y
bang;bg
dengarkan;dengerin
lihatnya;liatnya
banget;beud
pahami;pahamin
cantik;cntk
terima kasih;makasih
memang;emg
begitu;gitu
lagi;lg
saja;aja
lihatnya;liatnya
kaya;ky
begini;gini
ya;yah
takut;takuuuuut
anjir;ahahahanjirrr
dahsyat;dasyat
berjoget;jogetin
say;shaay
berak;boker
berak;boker
enggak;gk
yang;yg
lebih;lbih
enggak;ga
menyangka;nyangka
benaran;beneran
hubungi;hub
begitu;gitu
enggak;gk
menyambung;nyambung
pacarnya;pacarnyaa
siapa;siapaa
ini;inii
mati;matii
ketawa;ketawaa
kalo;klo
indak;nda
indak;nda
di;d
sudah;sdh
terima kasih;makasih
anjir;njir
mengakak;ngakak
tahi;taekk
anjir;wanjiir
ini;ni
dimana;dmna
mau;mw
juga;jg
terus;trus
bawa;bw
pengin;pengen
deh;dh
pengin;pingin
jangan;jgn
mau;mauuuuu
meminta;minta
mau;mauuu
boleh;leh
benaran;bnran
tapi;tp
enggak;g
kakak;kk
kakak;kk
ya;y
semua;smua
kakak;kk
itu;tu
segala;sgla
duitnya;uitnya
kak;k
kemarin;kmrn
belikan;beliiin
ya;yaaah
macam-macam;macem2
lucu;lucuuuu
belikan;beliin
sama;sm
yang;yg
tetap;tetep
memang;emang
memang;emang
sampai;sampe
enggak;ga
menyangka;nyangka
sekarang;sekaeang
sudah;udah
membuktikan;buktiin
yang;yg
membuktikan;ngebuktiin
banget;bgt
lihat;liat
kayak;kyk
begini;gini
hitungan;itungan
saja;aja
tengok;tgk
mau;mo
tengok;tgk
enggak;gak
menyangka;nyangka
kaget;kageet
terima kasih;makasi
sayang;say
sama;sma
enggak;ga
hilang-hilang;ilang2
bikin;bkn
enggak;ga
juga;jga
banget;bgt
yuk;yu
tanyakan;tanyain
masalah;mslh
kami;kmi
kepoi;kepoin
enggak;ga
mencoba;nyoba
wih;wihh
benaran;beneran
ya;yah
yuk;yu
saja;aja
saja;aja
hubungi;hub
yuk;yu
saja;aja
saja;aja
hubungi;hub
yuk;yu
saja;aja
saja;aja
hubungi;hub
banget;bgt
enggak;ga
yang;yg
"artis-artis;artis"""
kalau;klu
jatuhnya;jatuhnyaa
kakak;kka
kakak;kk
begini;gini
enggak;gak
pekerjaan;kerjaan
tambahkan;tambahin
saja;aja
membanyaki;banyakin
sudah;udah
lo;elo
saja;aja
enggak;gak
memang;emang
bertambah;nambah
saja;aja
yang;yg
tipu-tipunya;tipu2nya
doang;doaang
ya;yaa
deh;dech
banget;baget
banget;bat
kakak;kk
begini;gini
nya;ny
begituan;gituan
lucu;lucuuu
tapi;tpii
apa;ap
banget;bgt
lucu;lucuu
kak;kaj
lucu;lcu
banget;bngt
apa;ap
itu;tu
saja;ajah
wah;wahhhhhh
banget;bngt
banget;bingittzz
kalo;kl
banget;bgt
lucu;lucuuu
lucu;lucuu
ih;iiiiiiiii
lucu;lucuuu
kali;kaliiiiiii
ih;ihhh
cantik;cantikkkk
cantik;cantikkkk
melebihi;melebihin
apa;apaa
pengin;pengen
pengin;pengen
enggak apa-apa;gakpapa
kalo enggak;kalogak
enggak;gak
kakak;kaka
dong;donk
kak;ka
kakak;kaka
kak;kaaa
sama-sama;sm2
kamu;km
banget;bgt
banget;bgt
akan;akn
mendukung;ndukung
pengin;pengen
enggak;gk
amin;aminnnnn
kak;ka
memakai;make
kak;kaaaaa
amin;aamiinnn
semoga;smga
selalu;slalu
sekeluarga;skluarga
dah;daah
suaminya;suaminga
sudah;udah
berhijab;berhijap
semoga;smgaa
istikamah;istiqamah
amin;aamiin
cantik;cuaaantikk
sudah;udah
cantik;cantikk
ya;yah
ribu;rb
murah;muraaaaah
ribu;rb
saja;aja
enggak;gk
amin;aamiin
mbak;mba
yuk;yukk
barang;baraang
amin;aamiiin
sudah;udh
amin;aamiin
banget;bets
amin;aamiin
senang;seneng
kakak;kaka
kak;ka
banget;bgt
semoga;smga
kakak;kaka
amin;aamiin
amin;aamiin
ya;yaa
ya;yaaa
cantiknya;cantiknyaaa
amin;amiiin
amin;aamiin
amin;aamiin
yang;yg
enggak;gk
pakai;pake
lebih;lbh
mbak;mba
banget;bgt
pakai;pake
alhamdulillah;alhamdulillaaaaah
istikamah;istiqamah
ya;yah
terima kasih;makasi
sudah;uda
menyembuhkan;sembuhin
benar;bener
amin;aamiin
tetap;tetep
kak;kaaa
foto;fto
di;d
saja;z
ada;ad
yang;yg
bikin;bkin
perusak;pengrusak
pengin;pngn
mengoceh;ngoceh
ini;ni
aduh;aduhhh
hapus;hpus
foto;fto
pajang;pjang
masih;msh
berdampingan;bdampingan
sama;sm
orang;org
yang;yg
sudah;sdh
kalo;klo
tidak;tdk
harus;hrs
lihatnya;liatnya
itu;it
apa;ap
yang;yg
ya;y
mending;mnding
sama;sm
saja;aja
lihat;liat
kagak;kaga
lihat;liat
yang;yg
saja;aj
uh;uih
komennya;komenx
"seram-seram;serem"""
yang;yg
"hepi-hepi;happi"""
saja;aza
sama;sm
banget;bgt
begitu;bgtuu
enggak;ga
ya;yaa
enggak;g
maaf;mff
ya;y
ku;q
jadi;jd
ketawa;ktwa
lihat;liat
foto;fto
yang;yg
yang;yg
pakai;pke
banget;bngt
salah;slh
kali;x
ya;yeee
habis;abizzz
benar-benar;bnr2
malu-malui;malu2in
saja;aj
sama;sm
yang;yg
bikin;bkin
mengakak;ngakak
maaf;mff
ya;y
ku;q
terlalu;trlalu
jujur;jjur
kalo;klo
mengomong;ngmg
semoga;semogaa
terpeleset;kepelesett
kayak;kyk
begitu;gt
pakai;pake
gila;geeelaakk
salah fokus;salfok
bocah petualang;bolang
pakai;pkek
panjang;pnjang
pula;pla
lagi;lg
sama;ma
memang;emang
pakai;pake
lagi;lagihh
aduh;hedeuuhh
stres;stress
lama-lama;lama2
salah kostum;saltummmm
enggak;gak
kagak;kaga
menyambung;nyambung
cewek;cwe
mengakak;ngakak
begini;gini
enggak;gk
bois;mboizzz
jangan;jgn
yang;yg
sudah;suda
sama;ama
kayak;kayaq
ih;ihhh
emak;ema
lihat;liat
saja;aja
gayanya;gayany
enggak;engk
banget;bgt
gue;gw
cepat;cepet
banget;bgt
banget;bgt
kasihan;kasian
orang;org
enggak;g
pekerjaan;kerjaan
orang;org
enggak;g
mengaca;ngaca
dirumahnya;dirumahny
pada;pd
enggak;g
sudah;udah
enggak;ga
yang;yg
sama;ama
lagi;lgi
tuh;yuh
yang;yg
ada;ad
malah;mlah
ketemu;ktmu
foto;fto
yang;yg
rambut;rmbt
ya;yahh
lihat;liat
enggak;gak
lihatnya;liatnya
yang;yg
merusak;mrusak
lihat;liat
hapus;apus
saja;aja
yang;yg
gara-gara;gara2
yang;yg
dong;dunk
yang;yg
yang;yg
siapa ya;siapayahh
bilang;bilangin
pakai;pake
kostum;kostom
lo;loo
kok;ko
cewek;cewe
kaya;ky
begini;gnii
pintar;pinter
lucu;lucuuuu
banget;bangettttt
kayak;kyk
begini;gini
satu;atuu
menggemaskan;ngegemesin
gemas;gemes
loh;lohh
pipinya;pipinyaaa
ya;yaaa
kayak;kyk
banget;bgt
sama;sm
pengin;pinginnn
pintar;pinter
banget;bgt
bungkus;bungkuuuuuuuuusss
ih;iiiihhhhhj
gemas;emeessss
enggak;nggak
pipinya;pipine
gelambir;glembeeeer
banget;bgt
lucunya;lucunaaa
lucu banget;cubanget
pengin;pengenn
banget;bgttt
banget;bgt
lucu;lucuuuuu
unyu;unyuuk
banget;bgd
adek;dedek
lucunya;lucunyah
mantap;mantaaap
banget;bingits
pesan;pesen
dimana;dmana
yang;yg
kedua;keduaa
enggak;engga
enggak;engga
sama;sma
yang;yg
terserah;trsrh
kasih;ksih
enggak;engga
jangan;jgn
orang;orng
ya;yha
kakak;kaka
setrong;seterong
terus;teyuss
saja;aja
enggak;gak
usah;ush
dimasuki;dimasukin
kalo;klo
yang;yg
menjelekkan;jelekin
saja;aja
orang;orng
yang;yg
menjahati;jahatin
menjelekkan;jelekin
orang;orng
enggak;gak
usah;ush
memasuki;masukin
tahi;tai
tahi;tai
saja;ajaa
mengapa;ngapain
akan;akn
enggak;gak
mengomongnya;ngomongnya
sudah;udh
enggak;gk
kayaknya;kyknya
enggak tau;gtw
saja;aja
yang;yg
omongkan;omongin
kok;qo
menulis;nulis
kalau;klu
enggak;gk
kenapa;knp
enggak;gk
saja;aja
enggak;g
mengerti;ngerti
saja;aja
menyebutkan;nyebutin
yang;yg
enggak;gak
saja;aja
yang;yg
dengarkan;dengerin
enggak;gak
balas;bales
mengerti;ngertiin
yang;yg
rasai;rasaiin
enggak usah;gakusah
disini;disni
selalu;slalu
yang;yg
cantik;cantiik
kakak;kk
dari;dri
pada;pda
yang;yg
lihat;liat
dari;dri
orang;org
saja;aja
sabar;sabarrr
semangat;semangaatttt
enggak;gak
dengarkan;dengerin
enggak;gak
enggak;gk
tidak;tdk
sekarang;skrng
benar;bener
menonton;nonton
saja;aj
secara;scr
menyalahkan;nyalahin
menyindir;nyindir
banget;bgt
membedakan;bedain
banget;bgt
membedakannya;bedainnya
banget;bgt
kayaknya;keknya
deh;dehhh
lebih;lbih
kurus;krus
dari;dri
pada;pda
benar;bner
enggak;gaa
daripada;drpd
kak;ka
banget;bangeet
kakak;kk
juga;jg
banget;bgt
lihat;liat
saja;aja
banget;bgt
alah;elaaaahhhh
keren;kereenn
cowok ganteng;cogan
cowok ganteng;cogan
tapi;tap8
imut;imoet
ih;ihh
enggak;nggak
bosan;bosen
memandanginya;pandanginya
kakaknya;kakanya
yang;yg
kenalkan;kenaliiin
sama;sm
ku;qu
banyak-banyak;banyak2
ya;yo
tau;tauuu
awak;awk
lagi;lgi
suka;suko
sama;sm
orang;org
nih;niih
kakak;kk
banget;bgtt
sih;sihhhh
sudah;udh
"sebaik-baik;sebaik"""
orang;org
orang;org
enggak;ga
mengomentari;ngomentarin
orang;org
lain;laen
yang;yg
belum;blm
benar;bener
saja;ajah
sudah;udh
dapat;dpt
jadi;jd
"masing-masing;masing"""
ih;ikh
kayak;kyk
begitu;gt
enggak;g
pantas;pantes
pakai;pake
yang;yg
enggak;g
bagaimana;gmn
kalo;klo
sampai;smpe
nanti;nnti
yang;yg
mengomongnya;ngomongnya
begitu;gt
itu;tu
sebegitu;segtu
membenci;ngebenci
nya;ny
bakar-bakari;bakar2in
selamat;slmt
anak;ank
semoga;smg
sama;sm
kamu;km
tetap;ttp
kamu;km
pakde;padhe
kamu;km
yang;yg
ya;yya
ya;yya
atau;atw
kalo;klo
jangan;jgn
orang;org
yang;yg
dosa-dosamu;dosa2mu
orang;org
yang;yg
memaafi;maafin
enggak bisa;gabisa
jadi;jd
teman;temen
kaya;ky
muka;muke
gila;gile
percaya diri;pede
banget;bgd
ujung-ujung;ujung2
jadi;jd
lagi;lg
di;d
saja;aj
dalam-dalam;dalem2
kagak;kgak
di;d
bahas-bahas;bahas2
juga;jg
sudah;ud
ke;k
dia;dy
sekarang;skrg
masalah;mslh
selow;woles
saja;aj
jadi;jd
seperti;spt
kamu;km
khianati;hianatin
dari;dr
orang;org
yang;yg
tidak;tdk
halangi;halangin
dengan;dg
ih;iyuh
banget;bngt
kenapa;knp
ih;iyuuuhhhh
enggak jelas;gaje
jangan-jangan;jgn2
enggak;gk
enggak bakal;gabakal
begitu;gitu
saja;aja
yang;yg
orang;org
juga;jga
kalo;klo
memang;emang
menghadapi;adapin
enggak;ga
banyak;bnyak
memang;emang
menghakimi;ngehakimi
gue;gw
yang;yg
tahun;th
saja;aja
mengerti;ngerti
bagaimana;gmna
memperjuangkan;ngejuangin
bagaimana;gimana
dipojokkan;dipojokin
saja;aja
kayak;kek
hidup;idup
sudah;udah
benar;bener
gue;gw
yang;yg
bacoti;bacotin
sudah;udah
berarti;berati
daripada;dripada
kebangetan;kebangetak
kalo;klo
enggak;gak
tangkap;tangkep
juga;jg
di;d
begitu;gitu
dipakai;dipake
buat;bt
mengomong;ngomong
begitu;gitu
sadis-sadis;sadis2
cowok;cowo
yang;yg
enggak;ga
menaksir;maksir
sudah;udh
tapi;tp
tetap;tetep
hebat;hebatt
menerima;nerima
ya;yaa
lihat;liht
dari;dr
pandang;pndang
saja;aja
sebagai;sbagai
pembelajaran;pmbelajaran
juga;jugaa
orang;orng
yang;yg
banget;bgt
banget;bgt
enggak;gak
menjelekkan;ngejelek
yang;yg
masalah;maslah
pakai;pake
memperbaiki;mmperbaiki
saja;aja
sudah;ud
jadi;jd
karena;krn
kalo;klo
untuk;utk
berteman;temenan
sama;sm
mbak;mb
saja;aja
yang;yg
menahan;nahan
yang;yg
jadi;jd
jadi;jd
yang;yg
enggak;ga
punya;pnya
enggak;ga
punya;pny
enggak;ga
punya;pny
sudah;udh
merebut;ngerebut
yang;yg
enggak;ga
punya;pny
dari;dr
kafe;kafeh
remang-remang;remang2
malah;mlh
menusuk;nusuk
dari;dr
tinggal;tinggl
dirumah;dirmh
lagi;lg
malah;mlh
yang;yg
dari;dr
tapi;tp
enggak;gak
mengaku;ngaku
bagaimana;gmn
mbak;mbaa
enggak;gak
minta;mnta
kalo;klo
begitu;gt
banyak;byk
yang;yg
teman;temen
menangis;nangis
saja;aja
pantas;pantes
lebih;lbh
dari;dri
kenapa;knp
yang;yg
kali;kale
yang;yg
ih;iyuuhhh
yang;yg
cowok;cwo
sudah;udah
yang;yg
sudah;udah
menjadi;mnjadi
ketika;ktika
dipuja-puja;dipuja2
enggak;ga
kamu;kam
cewek;cwe
semoga;smoga
kamu;km
merasai;ngrasain
yang;yg
rasai;rasain
tapi;tp
saja;aja
menonton;nonton
saja;aja
orang;org
pesan;pesen
saja;aja
karena;karna
mengurusi;ngurusin
ya;yeeee
itil;ityl
habis;hbs
gara-gara;gara2
kayak;kyak
marah-marah;marah2
sama;ma
gue;gw
memang;emang
enak;wenak
suka;sukak
mengarang;ngarang
benar;bnr
dong;donk
gara-gara;gara2
banget;bgt
hidup;hdp
enggak;ngga
kayak;kek
begini;gini
menghina;ngehina
saja;aja
juga;jg
kelasnya;kelas'a
aduh;hadeeehhh
yang;yg
enggak;gak
anjing;jing
lagi;lg
"abal-abal;abal"""
"kecil-kecil;kecil"""
orisinal;ori
banget;bgt
semua;smua
yang;yg
begitu;gtu
kencang;kenceng
jadi;jd
jadi;jd
kayak;kek
"begitu-gituan;gtu""an"
kalo;klo
bagaimanapun;gmanapun
tetap;tetep
saja;aja
terima kasih;trims
ya;yah
kira;kr
tadi;td
nenek-nenek;nenek2
taunya;taux
cepat;cepet
pantas;pantes
saja;aja
lihat;liat
urat-uratnya;urat2nya
tertarik;ketarik
memang;emang
mengorbankan;ngorbanin
ekspresi;eksprsi
begitulah;gitulah
kalo;klo
yang;yg
begitu;gtu
enggak;ga
enggak;ga
kayak;kyk
kalo;klo
yang;yg
"foto-foto;foto"""
mas;mamas
kalo;klo
menghilangkan;ngilangin
juga;jg
saja;ajah
enggak ada;gada
bandingkan;bandingin
yang;yg
tua-tua;tua2
saja;ajah
banget;bgt
kasihan;kasian
cantik-cantik;cantik2
yang;yg
tertarik;ketarik
pakai;pake
terus-terusan;terus2an
cepat;cepet
sudah;udah
sudah;udah
enggak;gak
lihat-lihat;liat2
sampai;sampe
lihatnya;liatnya
waduh;waduhh
"bawa-bawa;bawa"""
membandingkan;badingkan
mbak;mba
begitu;gtu
ya;yah
sampai;sampe
bagaimana;gmana
begitu;gtu
kayak;kyk
saja;aja
saya;sy
sudah;udah
enggak;ga
ya;yah
saja;aja
kalo;klo
kalo;klo
saja;aja
sudah;udah
ya;yahh
bagaimana;bgmana
sudah;udah
saja;aja
enggak;ga
saya;sy
mengakak;ngakak
saya;sy
enggak;ga
menghina;ngehina
mbak;mba
saja;aja
yang;yg
begini;gini
yang;yg
enggak;ga
mengurus;ngurus
enggak;ga
orang;org
kalo;klo
yang;yg
terus;trus
yang;yg
ya;yah
lanjutkan;lanjutin
saja;aja
orang;org
yang;yg
banyak;byk
karena;krn
orang;org
yang;yg
banyak;byk
orang;org
yang;yg
meributkan;ributin
cowok;cwo
cowok;cwo
berantem;brantem
gara-gara;gara2
membela;belain
kayak;kek
begitu;gitu
kelihatan;keliatan
lipatan;lipetan
kayak;kek
begitu;gitu
kelihatan;keliatan
lipatan;lipetan
mengomong;ngomong
yang;yg
enggak;g
ampun;ampuun
ya;yya
saya;sya
mbak;mba
foto;fto
sama;sm
"nenek-nenek;nenek"""
benaran;bneraan
kaget;kageeet
sangat;sangaaattt
rambut;rmbuut
nenek-nenek;nenek2
kamu;km
nanti;nt
balik;walik
sama;sma
memang;emg
oma-oma;oma2
mengira;kirain
sekarang;skrng
banget;bgt
kenapa;knp
di;d
kayak;kyk
nenek-nenek;nenek2
ini;in
kalian;kellen
ya;y
benaran;beneran
mbak;mbk
kayak;kyk
sama;sm
mencerocos;nyerocos
saja;aje
ibu-ibu;ibuk2
enggak;gak
mengomentari;ngomenin
iseng-iseng;iseng2
saja;aja
tapi;tp
enggak;gk
menyangka;nyangka
terima kasih;makasih
ya;yaaa
enggak;ga
sudah;udah
nih;niyyyyhhhh
yang;yg
membesarkan;besarin
yang;yg
yang;yg
yang;yg
cantik-cantik;cantik2
malah;mlah
kayak;kek
enggak;gak
seksi-seksi;sexi2
boleh;blh
pakai;pkai
balik;blik
kakak;kk
coba;cb
kenapa;kenape
yang;yg
kakak;kkak
sayang;syg
jangan;jgn
meladeni;ladenin
orang;org
yang;yg
bikin;bkin
kakak;kkak
jadi;jdi
sakit;skit
hati;hat
kakak;kkak
sayang;syg
kakak;kkak
banyak;bnyak
kakak;kkak
jilbabnya;jilbabnye
kakak;kk
meledeki;ledkin
tapi;tpi
ya;yah
digantikan;digabtikan
yang;yg
sekarang;skrg
jangan;jng
mengomong;ngumung
dikemanakan;dikemanain
hilangkan;ilang-in
sudah;udh
benar;bener
pakai;pake
dari;dri
pada;pda
enggak;ga
pakai;pke
nya;ny
enggak;ga
enggak;ga
pribadi;prinadi
orang;org
lah;lahh
lu;luh
ya;yep
dari;dri
lu;u
"mengaku-ngaku;ngaku"""
saja;aja
halo;helooooo
mengaku;ngaku
saja;aja
enggak;gak
lu;u
lo;loe
memang;emang
ya;yaa
repot;rempong
orang;org
sendiri;sndiri
sudah;ud
benar;bener
saja;aja
masih;masi
saja;aja
palingan;palingann
berzina;berjinah
munafik;munaafikk
urusan;urusn
orang;org
mau;mw
pakai;pk
kagak;kaga
benar-benar;benar2
saja;aja
mbak;mba
enggak;gak
dengan;dg
saudara;saudra
terganggu;trganggu
kakak;kk
