sama;sma
teman;tmen
sekarang;skrg
dulu;dlu
sekarang;skrg
atas;ats
dong;donk
hai;heii
yang;yg
diputuskan;diputusin
pacarnya;pcrnya
gara-gara;gara2
menjual;mnjual
mengadakan;ngadain
enggak;ga
menyangka;nyangka
kakak;kkak
merekomendasikan;rekomendasiin
sih;sihhh
cocok;cooocok
mirip;mrip
banget;bgt
sama;sma
mamanya;mama.nyy
waktu;wkt
lihat;lht
enggak;gak
membosankan;bosenin
kamu;kmu
bukan;bukn
sih;sey
yang;yng
cantik;cantikkk
banget;banger
kak;kaa
banget;bngt
waktu;eakyu
cantik;cntik
sama;ama
amin;amiiin
kakaknya;kakanya
dulu;doeloe
kakak;kk
cantik;cantikkkk
banget;bngtt
sudah;udh
iya;iyak
malah;malh
malah;mlah
kakak;kk
enggak;ngak
laki-laki;laki2
enggak;gag
fotonya;fhotonya
boleh;bleh
kamu;km
berapa;brp
tanggal;tnggl
berapa;brp
tantenya;tanteny
kaya;ky
kita;qt
dulu;dlu
sekalinya;sklinyaa
ayo;ayoo
kamu;km
bisa;bs
jadi;jd
kakak;kk
ya;yah
gue;w
drama;dramaa
nih;niiih
bisa;bisaa
lah;lha
dong;dunk
lihat;lihaat
yuk;yuwkkk
nanti;nnti
editan;editannn
mau;mw
tuh;thu
mau;mai
kamu;kamuu
pasti;pastii
bisa;bisaaa
keju;kejuu
keren;kereen
namanya;nama.a
kemauan;kmauan
ayo;ayoo
ah;ahhhh
yuk;yuuuuk
dimana;dmana
disini;disiniii
coba;cobaa
bayangkan;bayangin
ya sudah;yaudh
bayangkan;bayangin
dulu;dl
saja;ajaaa
tuh;tuhhh
amplop;amploppp
mau;mo
kayak;kek
begini;gini
ya;yaaa
sayang-sayang;sayangg''
nanti;nantii
amin;aminnnn
amin;aminnnnn
enggak kuat;gakuat
yuk;yukkkk
banget;nged
nanti;nantik
kesitu;ksitu
yang;yng
banget;bangeett
selalu;slalu
lihat;liad
keluarga;kluarga
biasa;biasahhh
banget;bgt
sama;sma
keluarga;kluarga
sama;ama
tutorialnya;tutorialx
pakai;pke
yang;yg
dipakai;dpke
kakak;kk
dipakai;dpke
dong;donk
sayang;yank
lihat;liat
foto;fhoto
keren;kerenn
banget;binggo
rekomendasi;rekomndd
dong;donk
dimana;dmn
pengin;pngn
beli-belikan;bli2n
buat;bwt
waduh;wado
gua;guaa
ya;yaakkk
banget;bangetttttyt
banget;bangettttt
bang;bangg
kangen;kangeeeeeeeeennnnnnnn
kalian;kaliannnnnn
rindu;rinduuuuuuuuuu
kangen;kangennnnnmnnnnnnnnnnnnnnnnn
kalian;kaliannnnnm
kangen;kangeeeeeeeeeeennnnn
kangen;kangennnnnnnnnnnnnnnn
kangen;kangennn
kalian;kaliannnnnnn
tahun-tahun;th2
semoga;smoga
dulu;dl
sempat;smpt
bilang;blg
terserah;trserah
ada;ad
yang;yg
di;d
cowok;cwo
terus;trus
pernah;prnah
bilang;blg
lagi;lg
walaupun;wlwpun
terpisah;trpsah
kalau;klw
memang;mmg
allah;alloh
persatukan;prsatukn
memang;mmg
sudah;sdh
kalau;klw
enggak;g
salah;slh
mengomong;ngomng
mudah-mudahan;mdh2an
sama;sm
sekadar;skedar
seperti;sperti
kangen;kangennn
kangen;kangeeerrn
pula;pulak
tapi;tpi
terbaik;terrrrbaik
joroknya;jorookknya
ih;ihhhhh
coba;cobaa
padahal;padahall
jorok;jorokkkk
mual;mualll
kalau;klow
muka;muke
yang;yg
benar;bner
saja;ajh
tahi;taiiii
senang;seneeeeeng
ya;yaa
enggak;ga
menyesal;nyesel
membesarkan;besarin
terima kasih;mksh
tayang;tanyang
berdua;ber2
jangan;jngan
terus;trus
melarang;ngelarang
keren;kerreeen
sudah;udh
pantas;pantess
banget;bngettt
sampai;sampe
bawa perasaan;baperr
sudah;sudh
enggak;ga
sabar;sbr
pengin;pngen
menonton;nntn
hati;ht
pemainnya;pemainy
aku;aq
juga;jga
banget;bnget
sama;ama
aku;aq
juga;jg
aku;aqu
melihat;ngeliat
sampai;sampe
bawa perasaan;baper
semoga;smoga
enggak;gk
akan;akn
banget;bnget
sampai;nyampe
terbawa;kbawa
beradegan;bradegan
sama;sm
bawa perasaan;baper
banget;bnget
semoga;smga
amin;amiiinnnn
malam;mlm
menikahi;nikahin
aduh;hadeuh
benar-benar;bener2
menyambung;nyambung
aku;aq
lihat;liyat
karena;krn
suka;sk
banget;bgt
sama;sm
keluarga;kluarga
adegan;adengan
ya;yaaa
adegan;adengan
enggak;engga
banget;bngtt
banget;bingit
mendapati;dapetin
karena;krn
model-model;model2
ditayangkan;sitayngin
cocok;cocokkk
banget;bgt
mah;mahhhh
banget;bangett
cocoknya;cocokny
semoga;smoga
kakak;kaka
ini;iniw
sama;sma
juga;jga
ku;q
setuju;setju
banget;bngt
sama;sma
benaran;bnern
pacaran;pcrn
kalian;klian
cocok;cocokkkk
banget;bngett
habis;abes
pengin;pngen
kayak;kyk
begitu;gtu
entar;ntar
kayak;kek
begini;gini
baru;br
maksudnya;mksdny
itu;tu
kenapa;knp
kamu;kmu
berapa;brpa
itu;tu
ih;ihh
banget;bgt
sama;sma
amin;aamiin
dulu;dlu
kesampaian;kesampean
begini;beginiiii
entar;ntr
aku;ak
membelikan;beliin
kaya;kya
begini;gini
kek;keq
melihat;ngeliat
merasa;ngerasa
kamu;km
sayangku;sygkuu
lucu;lucuuuu
mengesalkan;ngeselin
bikin;bkin
masih;masi
bajunya;baju'a
foto;fto
begitu;gtu
juga;jg
banget;bgt
gara-gara;gara''
terus;teruss
pokoknya;pokok'a
bang;bg
ubur-ubur;ubur2
yuk;kuyy
bentar;bentarr
yuk;kuyy
kalau;klw
duren;dureen
ajib;ajibb
mahal;mahall
yuk;yukk
nih;niiihh
ubur-ubur;ubur2
dong;donk
imut;imuuttt
imut;imuttzz
nya;nha
asli;asliii
konten-konten;konten2
rasai;rasain
deh;daaaah
asli;asliiii
cantiknya;cantiknnnnyaaaaaaa
yuk;yuuk
melihatnya;ngelihatnya
aku;aqu
badan;bdn
nya;na
ibu-ibu;ibu2
banget;bgt
kau;lau
ya;yaaa
cantik;cantikkk
kak;kakkk
cantik;cantikk
seksi;sexxi
banget;bgt
bulat;bulet
itu;ituu
mengocok;ngocok
ini;ni
yang;yg
mau;mw
mencoba;nyoba
mengikuti;ikutin
begini;gn
ya;yaahhh
kencang;kencqng
aku;ak
kira;kra
kira;kra
masih;msh
dibeginikan;diginikan
"coret-coret;coret"""
lah;lahh
gue;gw
gambarkan;gambarin
entar;ntr
kalo;klo
gue;gw
kita;qt
kaya;ky
begini;gini
ya;y
benar-benar;bener2
ngeri;ngerii
digambarkan;digambarin
kalian;klen
kayak;kek
bangkai;bangke
tapi;tp
gue;gw
kok;kog
jadi;jd
ya;yha
lihatnya;liatnya
bedanya;bedanyaaa
sama;sm
negeri;negri
mbak;mbk
pengin;pgin
foto;fto
kerudungan;krudungan
kak;kakk
saja;ajaa
maksudku;maksutku
keren;kerennnnn
anjir;njirr
merasa;ngerasa
banget;bgt
jadinya;jd'y
tapi;tp
manisnya;manisnyaaaa
tahun;thun
berapa;brp
banget;bgt
mbak;mbg
cantik;cantikk
banget;bangeet
sama;sm
kamu;km
jangan;jgn
mengaco;ngaco
mengomentari;ngomen
masih;msh
kak;kaaakk
begitu;gituh
tengah;tenggah
lucu;lucuuuu
ya;yaa
tapi;tpi
aku;akuuu
apik;uuuuuaaaaaaaaaappppppppppiiiiiiiiiiiiiiiiiikkkkkkkkkkkkkkkk
kocak;kocakkkkkkkkkkkkkk
kesukaanmu;ksukaanmuuu
bagi;bagiii
ayo;ayooo
menontonnya;nontonx
ya;yach
depan;dpn
tapi;pi
itu;tu
penasaran;penasarannnn
gila;gilakkkkkk
mau;mauuu
menonton;nontoonnn
cepat-cepat;cepet2
pengin;kepingin
menonton;nontonnnn
dek;deeek
mantap;ntappp
deg-degan;deg2an
lihatnya;liatnya
cinta;cyiiin
iya;iyha
keren;kureeeen
mantap;muantaap
menontonnya;nontonx
enggak;ga
pakai;pake
mengantri;ngantri
beli;bli
orang;org
mentraktir;nraktir
menonton;nonton
sebanyak;sbnyak
penasaran;penasaraaann
enggak;ga
kayak;kyk
ayo;ayoooo
ini;nii
menontonnya;nontonya
ke;k
kalau;kl
menunggu;nunggu
dapat;dpt
kita;qta
gue;gw
pengin;peen
lu;lw
enggak;gga
menunggu;nunggu
ya;yaah
asik;asikkk
gila;gilak
macam;mcm
ceritanya;ceritax
yoi;yoooiii
deh;daah
yuk;kuy
sudah;udahh
tau;tauuuuu
enggak;ngga
sabar;sabarrrrr
kamu;kqmu
banggakan;banggain
mengadakan;ngadain
enggak;ngak
mengadakan;ngadain
tahun;thn
kenapa;knp
pengin;pengan
mengadakan;ngadain
enggak;gk
senang;sendeng
simpan;simpen
enggak;gakk
bagikan;bagiin
menangis;nangis
menanggapi;nanggepin
pengin;pingin
enggak;gk
sama;sma
kapan;kapn
barang-barang;barang2
sama;sma
mengirimi;kirimin
tapi;tpi
enggak;gk
senangi;senengin
mengasih;ngasih
asik;asikkk
sudah;udh
sama;ama
ampun;ampunnnn
bulan;bln
senang;senengg
terus;teruzzz
begitu;gtu
mantab;mantabb
sumpah;sumpahh
ya;yaa
semua;smua
diluaran;diluarann
terbaik;trbaik
dalam;dlam
semua;smua
anjir;anjirrrr
janda;jendess
deh;dh
sih;sichh
jangan;jgn
pengin;pgn
namanya;namnya
kakak;kaka
enggak;gk
meninggalkan;ninggalin
orang;orng
gih;geh
sama;ma
enggak;nggak
sama;sma
kakak;kk
berdua;ber2
dua-duanya;22nya
aduh;aduuhhh
mirip;miripp
silau;silauuu
wow;waww
keren;kerenn
juga;uga
anjir;njiirr
bagus;bgs
banget;bgt
kesini;kesinii
gemas;gemay
disitu;dstu
tempat;tmpt
wih;wiiiihhhh
semoga;samoga
amin;aamiin
keren;kereennn
coba;cobaa
tuh;tuhh
wah;wahh
enggak;gk
menyangka;nyangkaa
hasilnya;hasilnyaaa
banget;bangetttt
dah;dahhhh
cuman;cmn
mudah-mudah;mudah2
bisa;bisaa
juga;jugaakk
pernah;prnh
